dimension,member,revenue,sales_records,quantity,active_sales_days,average_selling_price,average_daily_revenue,revenue_share,record_share,quantity_share
month,2022-12,437401.19,141,66486.24,29,6.57882277596086,15082.799655172414,0.568410861535296,0.5551181102362205,0.5682812413591621
month,2022-11,332114.7,113,50509.07,24,6.57534775437362,13838.112500000001,0.43158913846470415,0.4448818897637795,0.43171875864083775
day_name,Wednesday,117800.21,40,18408.14,8,6.399354307387928,14725.02625,0.15308353151745835,0.15748031496062992,0.1573408369959445
day_name,Thursday,116200.48,38,17996.24,8,6.456931003365146,14525.06,0.15100465306830768,0.14960629921259844,0.15382018304836323
day_name,Tuesday,114600.34,39,17586.49,8,6.5163850205470215,14325.0425,0.148925241816644,0.15354330708661418,0.15031790590580082
day_name,Monday,112039.56,38,17665.06,8,6.342438689707252,14004.945,0.14559746128179368,0.14960629921259844,0.15098947128735332
day_name,Sunday,105474.67,29,13140.96,7,8.026405224580245,15067.81,0.13706626642888428,0.1141732283464567,0.11232039985192567
day_name,Friday,101800.28,35,16085.95,7,6.328521473708422,14542.897142857142,0.13229132929275836,0.1377952755905512,0.1374922635787708
day_name,Saturday,101600.35,35,16112.47,7,6.305696767782966,14514.335714285715,0.1320315165941538,0.1377952755905512,0.13771893933184157
is_weekend,False,562440.87,190,87741.88,39,6.410175733640537,14421.56076923077,0.7309022169769621,0.7480314960629921,0.7499606608162327
is_weekend,True,207075.02,64,29253.43,14,7.078657784745241,14791.072857142857,0.26909778302303805,0.25196850393700787,0.25003933918376725
city,Lisbon,241714.11,75,35752.84,19,6.7606967726200216,12721.795263157894,0.3141119152198404,0.2952755905511811,0.3055920788619646
city,London,211201.05,75,33535.34,18,6.297865177451608,11733.391666666666,0.27445963461521244,0.2952755905511811,0.2866383276389455
city,Madrid,136200.29,46,20444.25,14,6.6620340682588015,9728.592142857144,0.17699477264855443,0.18110236220472442,0.17474418418994742
city,Berlin,100600.13,30,14771.35,7,6.810489901058468,14371.447142857143,0.13073171237568598,0.11811023622047244,0.12625591572858774
city,Paris,79800.31,28,12491.53,8,6.388353548364371,9975.03875,0.10370196514070686,0.11023622047244094,0.10676949358055464
purchase_type,Online,305201.38,107,48999.16,23,6.228706369660214,13269.625217391305,0.396614785953283,0.421259842519685,0.4188130276333299
purchase_type,In-store,285714.02,86,40229.090000000004,19,7.102174570690015,15037.580000000002,0.3712906045383937,0.33858267716535434,0.3438521595438313
purchase_type,Drive-thru,178600.49,61,27767.06,15,6.432099401232971,11906.699333333332,0.2320946095083235,0.24015748031496062,0.23733481282283878
payment_method,Credit Card,361715.08,120,52970.78,26,6.828577566726411,13912.118461538463,0.4700553746849855,0.47244094488188976,0.4527598584934729
payment_method,Cash,239200.23,76,36389.97,20,6.573246144473326,11960.0115,0.3108450820944062,0.2992125984251969,0.311037852713925
payment_method,Gift Card,168600.58,58,27634.56,15,6.101077057134255,11240.038666666665,0.21909954322060848,0.2283464566929134,0.23620228879260202
manager,Joao Silva,241714.11,75,35752.84,19,6.7606967726200216,12721.795263157894,0.3141119152198404,0.2952755905511811,0.3055920788619646
manager,Tom Jackson,211201.05,75,33535.34,18,6.297865177451608,11733.391666666666,0.27445963461521244,0.2952755905511811,0.2866383276389455
manager,Pablo Perez,136200.29,46,20444.25,14,6.6620340682588015,9728.592142857144,0.17699477264855443,0.18110236220472442,0.17474418418994742
manager,Walter Muller,100600.13,30,14771.35,7,6.810489901058468,14371.447142857143,0.13073171237568598,0.11811023622047244,0.12625591572858774
manager,Remy Monet,79800.31,28,12491.53,8,6.388353548364371,9975.03875,0.10370196514070686,0.11023622047244094,0.10676949358055464
product,Burgers,376999.85,52,29022.31,52,12.99000148506442,7249.9971153846145,0.4899182133847815,0.2047244094488189,0.24806387538098748
product,Fries,125674.18999999999,51,32034.34,51,3.9231084517427233,2464.199803921568,0.16331591281370422,0.20078740157480315,0.27380875353037654
product,Chicken Sandwiches,114641.67,52,11135.92,52,10.29476415060453,2204.6475,0.14897895090899294,0.2047244094488189,0.09518261885882433
product,Beverages,103200.18,50,34983.14,50,2.9499976274285267,2064.0036,0.1341105249951369,0.1968503937007874,0.29901318266518545
product,Sides & Other,49000.0,49,9819.6,49,4.99001996007984,1000.0,0.06367639789738455,0.19291338582677164,0.08393156956462614
product_category,Main Course,491641.52,104,40158.23,52,12.242609298268375,9454.644615384615,0.6388971642937745,0.4094488188976378,0.34324649423981185
product_category,Sides,174674.19,100,41853.94,51,4.173422860547896,3424.984117647059,0.2269923107110888,0.3937007874015748,0.3577403230950027
product_category,Beverage,103200.18,50,34983.14,50,2.9499976274285267,2064.0036,0.1341105249951369,0.1968503937007874,0.29901318266518545
